tag,noise,outlier_frac,annotation,noisy_dims,method,td_mean,td_std,ase_mean,n_outer
normal-out0,normal,0.0,1.0,0.0,TERMGL,0.744600846225833,0.045361711924294,0.7584223217165446,300
normal-out0,normal,0.0,1.0,0.0,ridge,0.7354584337543507,0.1536991595711928,0.7497597360663224,300
normal-out0,normal,0.0,1.0,0.0,oracle,0.7466698091119416,0.0450701730692426,0.760424445370472,300
normal-out20,normal,0.2,1.0,0.0,TERMGL,610.6519375833072,357.34557785692243,578.5861198990742,242
normal-out20,normal,0.2,1.0,0.0,ridge,2199.494134262656,1513.054032168791,2096.566589905144,242
normal-out20,normal,0.2,1.0,0.0,oracle,621.558559941473,345.60121767146705,589.868141260032,242
t-out0,t,0.0,1.0,0.0,TERMGL,0.786194805819219,0.0611607566826373,0.8416712539121286,300
t-out0,t,0.0,1.0,0.0,ridge,0.996588920090572,0.5218783526006265,1.0013657206457025,300
t-out0,t,0.0,1.0,0.0,oracle,0.785171574449698,0.0612798291752999,0.8410128373394669,300
t-out20,t,0.2,1.0,0.0,TERMGL,680.9794305418728,370.44643938862,524.6557527817015,179
t-out20,t,0.2,1.0,0.0,ridge,2513.89112271989,1566.18539743326,1956.908275400416,179
t-out20,t,0.2,1.0,0.0,oracle,662.5562439005969,330.9751849021784,508.4792245649669,179
chisq-out0,chisq,0.0,1.0,0.0,TERMGL,0.7768005004571273,0.0488795696516863,0.8186445939195116,300
chisq-out0,chisq,0.0,1.0,0.0,ridge,0.9410802923768165,0.3587082916680504,0.9521167781173236,300
chisq-out0,chisq,0.0,1.0,0.0,oracle,0.7758939031495962,0.048357348993295,0.8177155454087491,300
chisq-out20,chisq,0.2,1.0,0.0,TERMGL,656.2253457775817,360.0753311662994,548.942588917565,229
chisq-out20,chisq,0.2,1.0,0.0,ridge,2665.185951528584,1898.071638996396,2228.568916396789,229
chisq-out20,chisq,0.2,1.0,0.0,oracle,687.3537749377464,355.2587985322436,573.4980728158487,229
exp-out0,exp,0.0,1.0,0.0,TERMGL,0.7768005004571273,0.0488795696516863,0.8186445939195116,300
exp-out0,exp,0.0,1.0,0.0,ridge,0.9410802923768165,0.3587082916680504,0.9521167781173236,300
exp-out0,exp,0.0,1.0,0.0,oracle,0.7758939031495962,0.048357348993295,0.8177155454087491,300
exp-out20,exp,0.2,1.0,0.0,TERMGL,656.2253457775817,360.0753311662994,548.942588917565,229
exp-out20,exp,0.2,1.0,0.0,ridge,2665.185951528584,1898.071638996396,2228.568916396789,229
exp-out20,exp,0.2,1.0,0.0,oracle,687.3537749377464,355.2587985322436,573.4980728158487,229
normal-partial50,normal,0.0,0.5,0.0,TERMGL,0.7445801096672884,0.0473054571780607,0.7584266842075286,300
normal-partial50,normal,0.0,0.5,0.0,ridge,0.7354584337543507,0.1536991595711928,0.7497597360663224,300
normal-partial50,normal,0.0,0.5,0.0,oracle,0.7466698091119416,0.0450701730692426,0.760424445370472,300
normal-noisydims30,normal,0.0,1.0,0.3,TERMGL,0.789043073698675,0.0519739293143348,0.8013264318712554,300
normal-noisydims30,normal,0.0,1.0,0.3,ridge,0.9173073417273706,0.2503386988015371,0.9210821684758884,300
normal-noisydims30,normal,0.0,1.0,0.3,oracle,0.7901864786415627,0.0508895196655418,0.8025541232593167,300
normal-out20-partial50-noisy30,normal,0.2,0.5,0.3,TERMGL,531.3132268870381,318.99103832695647,504.2001076625916,189
normal-out20-partial50-noisy30,normal,0.2,0.5,0.3,ridge,2146.755177733912,1786.6828340810853,2040.9450377513476,189
normal-out20-partial50-noisy30,normal,0.2,0.5,0.3,oracle,537.7216649764849,323.04474540405425,510.2526893630543,189
